song_title,artist_name
rockstar,dolly parton
new blue sun,andré 3000
higher,chris stapleton
cosmo,ozuna
poet’s resumé - ep,tim mcgraw
welcome 2 collegrove,2 chainz & lil wayne
1989 (taylor's version) [deluxe],taylor swift
lover,taylor swift
for all the dogs scary hours edition,drake
christmas,cher
golden,jung kook
trolls band together (original motion picture soundtrack),various artists
now that's what i call music! christmas classics,various artists
the hunger games: the ballad of songbirds & snakes (music from & inspired by),"olivia rodrigo, rachel zegler & flatland cavalry"
leather,cody johnson
equal strain on all parts,jimmy buffett
a charlie brown christmas (original 1965 tv soundtrack) [expanded edition],vince guaraldi trio
hackney diamonds,the rolling stones
midnights (3am edition),taylor swift
red (taylor's version),taylor swift
whitsitt chapel,jelly roll
reputation,taylor swift
too good to be true,rick ross & meek mill
a philly special christmas,the philly specials
the essential now that's what i call christmas,various artists
the beatles 1967–1970 (2023 edition) [the blue album],the beatles
zach bryan,zach bryan
1989 (taylor's version),taylor swift
the beatles 1962–1966 (2023 edition) [the red album],the beatles
the maybe man,ajr
christmas eve and other stories,trans-siberian orchestra
fearless (taylor's version),taylor swift
11:11,chris brown
highway desperado,jason aldean
one thing at a time,morgan wallen
speak now (taylor's version),taylor swift
all i've ever known,alexandra kay
live in germany 1995,garth brooks
bell bottom country,lainey wilson
i've tried everything but therapy (part 1),teddy swims
lauren daigle,lauren daigle
stick season (we'll all be here forever),noah kahan
coat of many colors,brandon lake
rule of thumb: rule 1,e-40
wish (original motion picture soundtrack),julia michaels & wish - cast
christmas,michael bublé
fruitcake - ep,sabrina carpenter
their greatest hits 1971-1975,eagles
merry christmas,mariah carey
christmas classics (remastered),bing crosby
white christmas,bing crosby
christmas portrait (special edition),carpenters
"dirt on my diamonds, vol. 1",kenny wayne shepherd
the maverick way complete,"maverick city music, chandler moore & naomi raine"
one more time...,blink-182
kenotic metanoia,lacey sturm
trolls band together (original motion picture soundtrack) [deluxe edition],various artists
continuum - ep,vixx
the christmas song (expanded edition),"nat ""king"" cole"
orange blood,enhypen
folklore,taylor swift
american heartbreak,zach bryan
guts,olivia rodrigo
the taylor swift holiday collection - ep,taylor swift
the greatest christmas hits,pentatonix
that's christmas to me,pentatonix
chronicle: the 20 greatest hits,creedence clearwater revival
episode 41 - thor’s angels,dan carlin
journey to bethlehem (original motion picture soundtrack),the cast of journey to bethlehem
abba gold: greatest hits,abba
nadie sabe lo que va a pasar mañana,bad bunny
black mona lisa,billy porter
the dark side of the moon,pink floyd
starting over,chris stapleton
when christmas comes around...,kelly clarkson
the record,boygenius
fallen (deluxe edition / remastered 2023),evanescence
snow waltz,lindsey stirling
super natural,the wilder blue
evermore (deluxe version),taylor swift
home alone (original motion picture soundtrack) [anniversary edition],john williams
christmas songs,david foster & katharine mcphee
nostalgia,rod wave
loki: season 2 - vol. 2 (episodes 4-6) [original soundtrack],natalie holt
the birth of a king: live in concert,tommee profitt
scott pilgrim takes off (soundtrack from the netflix original series),anamanaguchi & joseph trapanese
greatest hits,journey
rock-star,stray kids
now that's what i call music! vol. 88,various artists
presente,julión álvarez y su norteño banda
hamilton: an american musical (original broadway cast recording),"lin-manuel miranda, leslie odom, jr., phillipa soo, daveed diggs & christopher jackson"
traveller,chris stapleton
the mockingbird & the crow,hardy
folklore (deluxe version),taylor swift
greatest hits,creed
midnights (the til dawn edition),taylor swift
after the butterflies,queen naija
with love - ep,adam dollar$
the lost christmas eve,trans-siberian orchestra
5150,van halen
the twist,chubby checker
smooth,santanafeat  rob thomas
mack the knife,bobby darin
uptown funk,mark ronson feat  bruno mars
how do i live,leann rimes
party rock anthemlmfao,feat  lauren bennett   goonrock
i gotta feeling,the black eyed peas
macarena  bayside boys mix,los del rio
shape of you,ed sheeran
physicalolivia newton,john
you light up my life,debby boone
hey jude,the beatles
closer,the chainsmokers feat  halsey
we belong together,mariah carey
un    break my heart,toni braxton
yeah,usher feat  lil jon   ludacris
bette davis eyes,kim carnes
endless love,diana ross  lionel richie
tonight s the night  gonna be alright,rod stewart
you were meant for me    foolish games,jewel
everything i do    i do it for you,bryan adams
i    ll make love to you,boyz ii men
the theme from  a summer place,percy faith   his orchestra
le freak,chic
how deep is your love,bee gees
eye of the tiger,survivor
we found love,rihanna feat  calvin harris
lowflo rida feat  t,pain
just want to be your everything,andy gibb
too close,next
every breath you take,the police
somebody that i used to know,gotye feat  kimbra
despacito,luis fonsi   daddy yankee feat  justin bieber
flashdance    what a feeling,irene cara
rolling in the deep,adele
tossin  and turnin,bobby lewis
the battle of new orleans,johnny horton
one sweet day,mariah carey   boyz ii men
truly madly deeply,savage garden
silly love songs,wings
let    s get it on,marvin gaye
night fever,bee gees
another one bites the dust,queen
say say say,paul mccartney michael jackson
how you remind me,nickelback
